Image_ID,cn_caption,en_caption,is_multipic
figure_1.jpeg,,"Fig. 1.1	Visual  acuity  chart:  (A)  Snellen,  (B)  Bailey–Lovie  logMAR  chart.  (From  Salmon  JF,  Kanski’s  Clinical",
figure_2.png,,e Amsler grid evaluates the central 20° of the visual field centred on fixation ( Fig. 1.2B). It is an easy method of monitoring central visual field and is commonly abnormal in patients with macular disease.,
figure_3.png,,"Fig. 1.3	Colour  vision  tests:  (A)  Ishihara,  (B)  Farnsworth–Munsell  100-hue  test.  (From  Salmon  JF,  Kanski’s",
figure_4.png,,"Fig. 1.4	Humphrey SITA-Fast printout (A–F; see text). (From Salmon JF, Kanski’s Clinical Ophthalmology: A",
figure_5.jpeg,,"Fig. 1.5 Microperimetry in a patient with geographic atrophy of the macula. (From Salmon JF, Kanski’s Clinical Ophthalmology: A Systematic Approach, 9th edition. Oxford, UK: Elsevier; 2020.)",
figure_6.png,,"Fig. 22.8	Superficial  foreign  body:  (A)  subtarsal,  (B)  linear  corneal  abrasion,  (C)  insect  retained  in  the  inner",
figure_7.jpeg,,"Slit lamp biomicroscopy (Fig. 1.6B): (a) non-contact lenses: 60D (high magnification); when estimating optic disc size use a correction factor of ×1.0; for the 90D (wide-field) lens use a correction factor of 1.3 and for the 78D lens use ×1.1, (b) contact lenses: the Goldman three mirror lens has a central lens and three mirrors set at dierent angles. A viscous coupling solu - tion is required.",
figure_8.jpeg,,Head-mounted binocular indirect ophthalmoscopy (Fig. 1.7A and B): allows retinal visualiza-tion through a greater degree of media opacification than slit lamp ophthalmoscopy. A 20D lens magnifies ×3 and a 28D lens (shorter working distance; used in a smaller pupil) magni-fies ×2.27.,
figure_9.jpeg,,"Goldmann tonometry: is is an accurate variable-force tonometer consisting of a double prism which applanates the central cornea (Fig. 1.8A). Fluorescein stain is used to create semi-circular mires (Fig. 1.8B). Accuracy is lost with constant use and the tonometer should be checked on a regular basis for calibration error (Fig. 1.8C). Calculations are based on a central corneal thickness of 520 microns (if the cornea is thinner, an underestimation of IOP is likely to result and if thicker, an overestimation). Corneal oedema may result in an artificial reduction in the IOP value. Other sources of error include inappropriate fluores-cein pattern and pressure on the globe.",
figure_10.jpeg,,"Gonioscopy is a method of evaluating the anterior chamber angle. A contact lens is used, e.g. Goldmann one-mirror lens (Fig. 1.9A), Zeiss four-mirror lens (Fig. 1.9B). e examination should take place in a darkened room. Abnormalities that can be detected using gonioscopy include: (a) angle closure, (b) neovascularization, (c) hyper-pigmentation, (d) angle recession (see Chapter 11).",
